8857.666000 0.000407
8858.384000 0.000414
8859.103000 0.000421
8859.821000 0.000429
8860.540000 0.000436
8861.259000 0.000443
8861.978000 0.000450
8862.697000 0.000458
8863.416000 0.000467
8864.135000 0.000476
8864.854000 0.000485
8865.573000 0.000494
8866.292000 0.000503
8867.012000 0.000512
8867.730000 0.000521
8868.450000 0.000530
8869.170000 0.000539
8869.889000 0.000548
8870.608000 0.000557
8871.328000 0.000566
8872.048000 0.000575
8872.768000 0.000584
8873.487000 0.000593
8874.207000 0.000603
8874.927000 0.000612
8875.647000 0.000621
8876.367000 0.000630
8877.087000 0.000639
8877.808000 0.000648
8878.527000 0.000657
8879.248000 0.000667
8879.968000 0.000676
8880.688000 0.000685
8881.409000 0.000694
8882.129000 0.000703
8882.850000 0.000717
8883.570000 0.000733
8884.291000 0.000749
8885.012000 0.000766
8885.732000 0.000782
8886.453000 0.000799
8887.175000 0.000815
8887.896000 0.000832
8888.616000 0.000848
8889.337000 0.000865
8890.059000 0.000881
8890.779000 0.000898
8891.501000 0.000914
8892.223000 0.000931
8892.943000 0.000947
8893.665000 0.000964
8894.387000 0.000981
8895.108000 0.000997
8895.830000 0.001014
8896.551000 0.001030
8897.273000 0.001047
8897.995000 0.001064
8898.717000 0.001081
8899.438000 0.001097
8900.160000 0.001114
8900.883000 0.001130
8901.604000 0.001147
8902.326000 0.001163
8903.049000 0.001197
8903.771000 0.001233
8904.493000 0.001270
8905.216000 0.001306
8905.938000 0.001343
8906.660000 0.001379
8907.383000 0.001416
8908.105000 0.001453
8908.828000 0.001489
8909.551000 0.001526
8910.273000 0.001562
8910.997000 0.001599
8911.720000 0.001636
8912.442000 0.001673
8913.165000 0.001709
8913.889000 0.001746
8914.611000 0.001783
8915.335000 0.001819
8916.058000 0.001856
8916.781000 0.001893
8917.505000 0.001930
8918.229000 0.001967
8918.951000 0.002004
8919.675000 0.002040
8920.398000 0.002077
8921.122000 0.002114
8921.846000 0.002151
8922.569000 0.002195
8923.294000 0.002272
8924.018000 0.002348
8924.741000 0.002425
8925.466000 0.002502
8926.189000 0.002579
8926.913000 0.002655
8927.638000 0.002732
8928.362000 0.002809
8929.086000 0.002886
8929.811000 0.002963
8930.535000 0.003040
8931.260000 0.003117
8931.984000 0.003194
8932.709000 0.003271
8933.434000 0.003348
8934.158000 0.003425
8934.883000 0.003502
8935.607000 0.003579
8936.332000 0.003656
8937.058000 0.003733
8937.782000 0.003811
8938.508000 0.003888
8939.232000 0.003965
8939.958000 0.004042
8940.683000 0.004120
8941.408000 0.004197
8942.134000 0.004275
8942.859000 0.004387
8943.584000 0.004528
8944.310000 0.004669
8945.035000 0.004809
8945.761000 0.004950
8946.487000 0.005091
8947.213000 0.005232
8947.938000 0.005373
8948.664000 0.005514
8949.391000 0.005656
8950.116000 0.005797
8950.843000 0.005939
8951.568000 0.006080
8952.295000 0.006222
8953.021000 0.006364
8953.747000 0.006506
8954.474000 0.006648
8955.200000 0.006790
8955.927000 0.006932
8956.653000 0.007075
8957.380000 0.007217
8958.106000 0.007359
8958.833000 0.007502
8959.560000 0.007644
8960.286000 0.007787
8961.014000 0.007929
8961.740000 0.008071
8962.467000 0.008215
8963.194000 0.008520
8963.922000 0.008825
8964.648000 0.009129
8965.376000 0.009434
8966.104000 0.009739
8966.830000 0.010044
8967.558000 0.010349
8968.285000 0.010654
8969.013000 0.010960
8969.740000 0.011265
8970.468000 0.011572
8971.196000 0.011879
8971.924000 0.012185
8972.651000 0.012492
8973.379000 0.012799
8974.107000 0.013106
8974.835000 0.013414
8975.563000 0.013721
8976.291000 0.014029
8977.020000 0.014337
8977.748000 0.014645
8978.477000 0.014954
8979.204000 0.015262
8979.933000 0.015570
8980.661000 0.015878
8981.390000 0.016186
8982.118000 0.016494
8982.848000 0.016982
8983.576000 0.017630
8984.305000 0.018278
8985.033000 0.018926
8985.763000 0.019576
8986.491000 0.020225
8987.221000 0.020875
8987.949000 0.021525
8988.679000 0.022175
8989.407000 0.022825
8990.137000 0.023476
8990.866000 0.024127
8991.596000 0.024779
8992.325000 0.025430
8993.055000 0.026082
8993.784000 0.026734
8994.514000 0.027387
8995.243000 0.028039
8995.973000 0.028692
8996.703000 0.029346
8997.433000 0.029999
8998.162000 0.030653
8998.893000 0.031308
8999.622000 0.031961
9000.353000 0.032615
9001.083000 0.033266
9001.812000 0.033917
9002.543000 0.034635
9003.273000 0.035958
9004.004000 0.037280
9004.734000 0.038603
9005.465000 0.039926
9006.195000 0.041249
9006.926000 0.042572
9007.656000 0.043895
9008.388000 0.045221
9009.118000 0.046544
9009.849000 0.047868
9010.580000 0.049192
9011.311000 0.050513
9012.042000 0.051836
9012.772000 0.053157
9013.504000 0.054480
9014.235000 0.055803
9014.967000 0.057126
9015.698000 0.058449
9016.429000 0.059771
9017.160000 0.061094
9017.892000 0.062417
9018.624000 0.063742
9019.355000 0.065065
9020.087000 0.066389
9020.818000 0.067716
9021.551000 0.069046
9022.282000 0.070373
9023.015000 0.072398
9023.746000 0.074670
9024.479000 0.076946
9025.210000 0.079219
9025.942000 0.081495
9026.675000 0.083772
9027.407000 0.086049
9028.140000 0.088326
9028.872000 0.090604
9029.604000 0.092882
9030.337000 0.095160
9031.069000 0.097439
9031.802000 0.099718
9032.534000 0.101998
9033.268000 0.104280
9034.000000 0.106561
9034.732000 0.108841
9035.466000 0.111125
9036.199000 0.113409
9036.932000 0.115691
9037.665000 0.117975
9038.398000 0.120260
9039.131000 0.122543
9039.864000 0.124829
9040.598000 0.127115
9041.331000 0.129401
