#       xJ          yJ
#
  1.063050   0.000000
  1.063300   0.000422
  1.063550   0.000596
  1.063800   0.000294
  1.064050   0.000053
  1.064300   0.000341
  1.064550   0.000270
  1.064800   0.000000
  1.065050   0.000000
  1.065300   0.000314
  1.065550   0.000000
  1.065800   0.000000
  1.066050   0.000000
  1.066300   0.000000
  1.066550   0.000000
  1.066800   0.000000
  1.067050   0.000550
  1.067300   0.000762
  1.067550   0.000324
  1.067800   0.000006
  1.068050   0.000184
  1.068300   0.000265
  1.068550   0.000427
  1.068800   0.001076
  1.069050   0.001176
  1.069300   0.000607
  1.069550   0.000545
  1.069800   0.000376
  1.070050   0.000000
  1.070300   0.000000
  1.070550   0.000761
  1.070800   0.000791
  1.071050   0.000029
  1.071300   0.000000
  1.071550   0.000000
  1.071800   0.000000
  1.072050   0.000176
  1.072300   0.001089
  1.072550   0.001112
  1.072800   0.000000
  1.073050   0.000000
  1.073300   0.000000
  1.073550   0.000211
  1.073800   0.000000
  1.074050   0.000000
  1.074300   0.000000
  1.074550   0.000000
  1.074800   0.000000
  1.075050   0.000631
  1.075300   0.000813
  1.075550   0.000006
  1.075800   0.000000
  1.076050   0.000376
  1.076300   0.000070
  1.076550   0.000000
  1.076800   0.000803
  1.077050   0.001290
  1.077300   0.000653
  1.077550   0.000059
  1.077800   0.000017
  1.078050   0.000000
  1.078300   0.000000
  1.078550   0.000017
  1.078800   0.000598
  1.079050   0.000237
  1.079300   0.000000
  1.079550   0.000000
  1.079800   0.000000
  1.080050   0.000000
  1.080300   0.000105
  1.080550   0.000984
  1.080800   0.000636
  1.081050   0.000000
  1.081300   0.000052
  1.081550   0.000856
  1.081800   0.000729
  1.082050   0.000219
  1.082300   0.000162
  1.082550   0.000140
  1.082800   0.000000
  1.083050   0.000000
  1.083300   0.000075
  1.083550   0.000201
  1.083800   0.000477
  1.084050   0.000610
  1.084300   0.000109
  1.084550   0.000000
  1.084800   0.000000
  1.085050   0.000441
  1.085300   0.000645
  1.085550   0.000220
  1.085800   0.000093
  1.086050   0.000382
  1.086300   0.000000
  1.086550   0.000000
  1.086800   0.000000
  1.087050   0.000424
  1.087300   0.000120
  1.087550   0.000309
  1.087800   0.000574
  1.088050   0.000000
  1.088300   0.000000
  1.088550   0.000098
  1.088800   0.000816
  1.089050   0.000399
  1.089300   0.000000
  1.089550   0.000172
  1.089800   0.000086
  1.090050   0.000000
  1.090300   0.000466
  1.090550   0.000624
  1.090800   0.000149
  1.091050   0.000000
  1.091300   0.000132
  1.091550   0.000438
  1.091800   0.000000
  1.092050   0.000000
  1.092300   0.000207
  1.092550   0.000012
  1.092800   0.000000
  1.093050   0.000000
  1.093300   0.000354
  1.093550   0.000109
  1.093800   0.000000
  1.094050   0.000000
  1.094300   0.000000
  1.094550   0.000000
  1.094800   0.000000
  1.095050   0.000343
  1.095300   0.000250
  1.095550   0.000000
  1.095800   0.000284
  1.096050   0.000476
  1.096300   0.000000
  1.096550   0.000000
  1.096800   0.000000
  1.097050   0.000000
  1.097300   0.000000
  1.097550   0.000000
  1.097800   0.000011
  1.098050   0.000000
  1.098300   0.000000
  1.098550   0.000259
  1.098800   0.000586
  1.099050   0.000120
  1.099300   0.000000
  1.099550   0.000000
  1.099800   0.000000
  1.100050   0.000000
  1.100300   0.000000
  1.100550   0.000058
  1.100800   0.000000
  1.101050   0.000000
  1.101300   0.000000
  1.101550   0.000000
  1.101800   0.000000
  1.102050   0.000573
  1.102300   0.000489
  1.102550   0.000000
  1.102800   0.000000
  1.103050   0.000415
  1.103300   0.000406
  1.103550   0.000178
  1.103800   0.000596
  1.104050   0.000691
  1.104300   0.000000
  1.104550   0.000000
  1.104800   0.000227
  1.105050   0.000684
  1.105300   0.000620
  1.105550   0.000492
  1.105800   0.000638
  1.106050   0.000097
  1.106300   0.000000
  1.106550   0.000159
  1.106800   0.001614
  1.107050   0.001276
  1.107300   0.000349
  1.107550   0.000320
  1.107800   0.000200
  1.108050   0.000017
  1.108300   0.000526
  1.108550   0.000690
  1.108800   0.000000
  1.109050   0.000000
  1.109300   0.000000
  1.109550   0.000593
  1.109800   0.000667
  1.110050   0.000891
  1.110300   0.000932
  1.110550   0.000138
  1.110800   0.000000
  1.111050   0.000395
  1.111300   0.000460
  1.111550   0.000252
  1.111800   0.000359
  1.112050   0.000430
  1.112300   0.000120
  1.112550   0.000000
  1.112800   0.000208
  1.113050   0.000446
  1.113300   0.000000
  1.113550   0.000000
  1.113800   0.000000
  1.114050   0.000000
  1.114300   0.000335
  1.114550   0.001086
  1.114800   0.001129
  1.115050   0.000088
  1.115300   0.000000
  1.115550   0.000000
  1.115800   0.000507
  1.116050   0.000668
  1.116300   0.000947
  1.116550   0.000776
  1.116800   0.000024
  1.117050   0.000028
  1.117300   0.000947
  1.117550   0.001185
  1.117800   0.000284
  1.118050   0.000000
  1.118300   0.000424
  1.118550   0.000175
  1.118800   0.000291
  1.119050   0.001554
  1.119300   0.002085
  1.119550   0.001462
  1.119800   0.000827
  1.120050   0.000776
  1.120300   0.000939
  1.120550   0.000858
  1.120800   0.001233
  1.121050   0.001932
  1.121300   0.001693
  1.121550   0.001445
  1.121800   0.002315
  1.122050   0.002919
